,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (mg/g ),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Stem dry  weight (g),Root fresh weight (mg),Root dry weight (mg),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Infection plant,39.68,16.36,121.6,17,35.15,76.78,15.95,28.63,24.28,399.7,28.76,20.6,66.53,20.43,13.55,27.56,20.27,26.37,18.2,11.98,2.89
Infection plant,40.98,40.48,177.98,51.9,56.93,23.58,9.3,15.87,15.96,131,39.29,17.35,13.47,13.55,16.7,20.36,1.42,55.37,55.21,16.67,1.8
Infection plant,31.32,12.95,151.65,57.45,80.81,18.06,7.13,38.33,19,297.76,48.76,17.3,71.18,16.7,6.3,23.39,12.5,55.28,11.35,19.71,8.22
Infection plant,84.7,34.01,148.85,20.6,31.14,22.85,11.41,39.46,18.54,148.92,11.91,21.31,61.61,19.26,10,24.56,9.74,8.22,14.05,14.7,15.2
Infection plant,104.94,18.41,86.81,87.21,38.4,97.31,11.59,14.3,15.75,252.78,15.46,9.55,23.64,24.57,7.2,12.34,12.43,3.46,10.37,16.88,10.38
Infection plant,77.98,36.12,120.83,21.82,62.1,51.9,17.42,31.74,10.4,268.03,26.42,25.19,11.68,27.96,10.1,18.46,2.63,7.23,67.29,17.23,5.47
Infection plant,63.7,18.28,175.57,36.41,66.4,24.91,15.4,29,21.27,235.15,11.95,11.86,53.14,20.37,11.23,21.3,15.06,85.09,17.01,20.71,11.57
Infection plant,71.25,13.75,92.69,68.91,72.87,73.46,8.92,26.69,24.24,358.8,15.39,20.01,26.15,26.89,11.1,12.94,16.22,60.36,24.63,22.81,2.42
Infection plant,32.29,27.2,126.29,37.25,77.47,25.44,21.41,48.84,19.65,405.1,38.02,8.24,82.41,19.15,3.04,13.3,10.97,5.8,16.64,8.31,8.55
Infection plant,90.06,17.87,239.23,70.09,76.85,19.27,10.44,44.3,27.31,317,45.25,8.98,33.85,15,19.53,19.63,10.33,0,10.42,6.57,6.28
Infection plant,30.84,35.74,130.16,21.02,49.86,24.94,5.76,26.39,18.29,193.09,19.31,8.73,30.07,19.53,5.78,23.3,12.04,8.39,56.14,7.4,6.42
Infection plant,95.5,25.28,101.51,66.47,39.48,22.45,10.43,44.88,24.51,262,17.56,12.44,70.21,18.45,1.94,25.83,20.84,9.27,12.01,12.53,15.83
Infection plant,84.35,23.31,124.16,48.33,76.94,19.57,5.75,47.62,10,164.58,9.2,10.16,51.55,26.02,13.82,25.15,18.26,45.01,16.24,21.73,17.38
Infection plant,107.61,12.77,146.58,16.02,25.89,66.47,19.81,37.88,15.65,295.61,27.98,26.46,35.75,26.67,11.27,24.68,18.13,2.93,15.37,6.67,17.24
Infection plant,90.29,15.3,174.54,86.12,58.27,20.15,9.74,16.63,27.07,161.58,28.46,14.48,35,19.13,19.13,17.87,7.26,25.59,16.2,16.57,12.8
Infection plant,104.02,12.57,228.48,46.8,22.11,94.9,6.13,15.88,19.91,176,21.9,25.8,39.94,27.59,14.25,30.62,3.79,61.44,98.23,23.34,15.59
Infection plant,96.33,20.42,128.64,61,38.37,22.33,22.02,15.99,18.61,289.38,27.25,17.68,87.22,21.15,2.57,14.25,8.27,5.19,96.81,12.85,6.11
Infection plant,71.1,17.38,116.61,32.69,33.84,90.12,11.66,58.02,25.12,272.69,25.92,11.25,81.36,17.41,12.32,25.44,20.33,3,13.9,17.02,12.75
Infection plant,71.62,24.5,133.48,97.52,33.83,68.91,7.33,47.61,10.51,116.63,32.71,21.01,23.3,14.64,10.14,21.33,15.96,55.59,68.18,14.22,8.5
Infection plant,57.92,36.59,98.93,44.57,38.52,19.28,8.36,14.39,17.4,297.58,12.44,7.13,61.42,17.3,14.64,17.54,15.26,4.05,36.01,14.56,5.6
Infection plant,74,25.86,114.98,32.57,99.67,73.88,14.28,37.93,25.27,409.62,15.87,10.88,70.85,17.31,6.91,23.73,14.39,3.9,11.16,10.29,11.21
Infection plant,36.27,32.53,125.99,21.89,30.83,24.63,16.59,57.45,17.41,360.84,49.43,9.51,80.65,21.28,17.31,14.65,9.9,8.09,16.72,10.38,20.11
Infection plant,34.62,18.84,179.76,60.13,96.75,60.13,9.91,40.03,20.79,237.36,35,23.29,43.01,27.57,6.02,17.41,13.5,88.34,13.69,14.55,9.46
Infection plant,82.11,33.2,136.2,53.99,90.71,53.99,8.15,55.75,13.8,298.22,10.29,15.74,34.23,24.42,12,16.54,14.17,7.38,16.3,14.53,10.07
Infection plant,32.8,15.97,162.72,22.14,84.86,63.26,3.18,24.97,27.81,393.57,28.73,7.22,71.79,13.31,2.52,11.8,8.17,31.98,56.46,14.65,3.17
Infection plant,33.62,38.14,164.53,16.32,31.56,17.44,18.89,14.45,20.69,162.47,40.95,16.68,41.54,12,10.08,17.33,7.48,23.11,41.12,21.88,11.87
Infection plant,40.26,15.96,134.3,29.35,37.46,82.84,12.19,19.31,10.9,363.96,11.68,18.91,15.31,10.3,5.07,23.76,13.28,40.85,96.9,11.52,20.87
Infection plant,35.63,20.95,91.87,90.22,27.88,16.03,8.2,14.4,21.95,156.87,9.69,25.33,66.69,27.27,5.46,12.29,16.76,18,54.21,6.37,12.33
Infection plant,35.79,18.87,192.86,11.35,49.54,21.67,6.54,42.23,16.91,160,35.47,13.89,49.13,21.05,5.5,14.51,17.64,89,27,5.06,18.49
Infection plant,74.03,24.93,232.78,51.04,59,18.74,4.8,45.87,22.8,144.45,19.81,14.79,61.93,28.73,5.44,12.37,13.58,90.91,54.25,11.43,5.38
Infection plant,37.39,19.27,111.65,76.59,93.43,63.21,17.37,16.37,13.17,295.21,42.13,12.83,12.3,24.65,18.07,17.46,11.67,87.32,74.16,9,14.92
Infection plant,94.89,30.47,224,19.8,93.21,20.12,5.51,38.49,12.17,298.57,19.3,18.09,40.28,14.16,17.02,18,7.6,4.71,10.25,4.39,19.78
Infection plant,109.27,40.25,136.66,37.98,45.51,20.62,8.43,59.91,9.98,191.54,14.41,13.87,13.61,23.55,14.16,28.1,14.38,38.65,11.94,14.4,17.85
Infection plant,100.2,18.24,121.41,77.73,40.47,20.93,8.9,15.04,24.5,181.55,17.42,7.77,45.6,12.36,4.09,17.25,15.09,1.82,14.07,4.94,19.4
Infection plant,46.51,18.32,223.12,80.58,70.69,90.22,10.66,39.49,23.64,227.54,16.38,24.41,54.49,18.76,5.41,17.99,2.8,3.97,73.08,11.94,6.01
Infection plant,39.47,14.53,220.39,13.49,95.63,18.91,8.13,14.77,14.84,202.98,10.96,13.63,19.95,22.63,10.36,21.7,13.45,37.61,54.31,10.85,15.96
Infection plant,92.91,32.88,134.86,41.58,26.72,22.25,12.87,14.32,24.01,164.22,26.16,12.32,69.84,21.44,12.72,19.26,5.97,8.55,31.87,7.31,2.33
Infection plant,39.89,37.8,80.28,46.25,97,59.18,11.72,48.48,15.24,228.11,13,17.69,38.93,16.52,8.84,27.31,14.71,66.24,40.01,21.01,3.03
Infection plant,33.18,40.15,83.67,49.09,46.83,22.87,7.95,57.83,22.79,132.06,12.6,19.4,99.48,20.86,11.5,14.63,20.46,8.01,15.29,13.59,19.86
Infection plant,37.53,19.09,153.22,90.09,31.6,16.69,10.28,28.85,13.94,261.24,32.42,19.01,44.06,29.99,10.7,18.52,3.6,5.36,83.21,17.89,10.65
Infection plant,69.55,23.6,120.65,59.37,52.34,25.5,5.96,58.72,27.1,119.03,45.06,9.43,95.3,13.77,16.13,29.98,7.17,2.07,12.28,4.14,4.06
Infection plant,49.6,36.68,144.62,47.84,92.44,16.47,21.77,16.16,20.66,157.6,19.46,19.86,66.7,14.82,2.18,14.31,4.5,6.96,9.04,17.37,5.32
Infection plant,73.74,35.35,180.72,48.11,48.31,16.86,13.81,29.11,10.96,175.99,28.05,18.99,18.03,11.5,9.06,20.59,20.05,6.41,82.14,13.54,20.7
Infection plant,48.37,15.89,134.94,73.32,83.56,25.54,16.88,27.02,12.39,320.65,15.25,22.07,66.21,16.05,13.93,21.52,8.66,1.49,13.87,13.91,14.29
Infection plant,31.23,34.4,122.6,80.98,34.47,51.57,16.12,18.3,26.78,164,31.54,14.37,46.32,29.93,15.47,27.16,10.54,97,12.07,18.27,18.96
Infection plant,101.83,21,83.49,13.87,38.83,90.09,9.67,14.35,12.38,196.67,32.48,13.99,62,14.49,19.93,19.31,14.49,4.04,17.33,12.04,20.83
Infection plant,36.52,21.36,84.87,83.93,27.47,59.37,13.84,44.69,14.92,269,15.16,12.86,12.8,26.84,4.55,25.7,4.35,51.52,55.57,13.68,3.39
Infection plant,30.2,40.87,132.06,28.95,24.16,22.92,22.08,23.09,19.54,144.05,19,19.35,93.75,25.55,14.49,18.81,16.31,4.19,12.09,13.69,11.08
Infection plant,39.57,29.96,228.28,44.08,36,82.36,3.51,15.13,24.83,153.64,16.08,18.11,76.61,18.51,18.51,19.71,11.82,55.57,82.31,20.57,8.13
Infection plant,59.6,22.98,119.35,35.08,32.25,80.98,11.29,34.27,11.61,199.77,11.44,7.4,76.92,13.28,4.87,18.72,17.01,5.08,10.48,5.34,14.63
Infection plant,35.16,25.87,86.34,99.11,88.27,74.44,16.21,35.3,10.79,392,12.36,9.69,41.22,15.2,13.28,14.23,1.13,55.62,18.96,7.26,2.36
Infection plant,30.64,33.6,125.47,10.79,76.04,21.43,11.16,45.79,9.69,110.27,8.18,8.32,69.39,28.95,15.2,17.02,18.32,10.79,13.26,9.34,13.17
Infection plant,53.38,34.71,121.63,68.06,27.28,18.55,14.19,47.42,16.14,386.81,16.42,24.05,17.06,18.48,18.48,17.2,12.76,36.78,50.37,13.62,17.74
Infection plant,51.38,13.77,222,99.89,25.76,18.45,11.42,33.53,17.03,320.71,15.38,24.35,11.23,23.77,10.8,20.47,18.12,97.61,18.25,20.23,16.14
Infection plant,31.54,31.24,225.3,75.28,45.83,99.89,4.16,47.83,26.5,356,8.79,19.04,29.37,10.7,4.68,26.15,20.56,2.62,13.3,10.76,7.63
Infection plant,34.95,12.27,121.78,41.76,39.56,24.28,21.68,14.91,8.14,145.45,24.43,20.06,52.06,24.54,7.74,13.92,15.19,19,93,8.23,6.18
Infection plant,53.24,24.47,231.66,10.07,78,87.43,10.71,29.88,8.11,369,28.86,9.78,34.9,26.68,6.33,26.35,7.78,36.79,55.56,16.4,7.23
Infection plant,39.04,16.95,110.23,95.29,63.7,68.06,6.39,26.08,11.4,145.45,44.67,25.23,40.16,20.26,7.51,27.94,15.75,1.66,54.08,10.63,1.62
Infection plant,90.39,23.66,157.62,96.63,75.1,18.52,8.25,38.67,10.53,123.14,13.22,13.98,61.56,11.71,10.65,27.2,7.44,3.38,58.07,20.81,20.03
Infection plant,39.18,14.3,214.5,30.19,38.99,16.48,11.65,59.5,14.98,146.57,23.03,20.2,81.09,22.91,11.71,24.74,5.43,2.85,12.58,9.07,8.35
Infection plant,36.97,17.22,88.47,65.52,48.52,25.84,14.57,55.44,20.1,166.19,11,19.14,39.84,17.33,5.84,16.57,3.5,2.26,10.52,13.03,13.4
Infection plant,32.13,25.32,234.2,50.44,54.2,65.52,12.31,21.99,13.14,158.39,27.75,23.91,61.55,17.08,15.48,19.25,2.67,5.7,9.09,15.65,16.9
Infection plant,68.2,20.48,143.95,47.9,58.96,17.34,4.98,19.66,17.2,189.52,21.88,19.18,48.95,18.65,11.51,25.9,5.25,35.27,34.13,19.23,1.22
Infection plant,76.45,14.67,134.69,66,88.86,95.78,10.5,17.19,22.76,382.79,9.6,23.36,81.08,15.51,15.14,18.22,17.08,46,45.76,22.22,13.71
Infection plant,37.49,13.97,228,48.31,57.18,22.55,3.45,59.48,10.31,226.55,17.72,16.7,73.47,15.48,6.68,12.42,14.59,34.44,18.55,11.68,2.8
Infection plant,70.5,21.81,222.15,33.45,48.77,77.67,7.19,14.62,11.06,388.05,11.65,21.48,66.47,11.51,19.58,23.4,10.57,34.61,16.71,13.13,17.9
Infection plant,39.98,29.88,211.09,67.46,49.63,67.46,15.51,57.7,16.67,122.59,49.98,20.91,40.25,15.14,6.69,27.7,1.66,30,55.38,4.46,17.03
Infection plant,51.89,17.89,230.06,83.69,49.75,83.69,19.55,21.61,19.24,400,47.81,9.5,96.11,26.04,11.22,27.91,13.84,8.9,99.38,7.85,20.96
Infection plant,37.35,37.31,124.57,30.39,39.17,93.38,21.21,50.71,11.36,318.97,44.77,9.19,37.96,14.95,4.46,26.4,5.04,3.72,54.5,23,13
Infection plant,92.63,29.41,184.68,85.69,51.7,85.69,20.33,49.39,22.16,227,15.2,15.56,44.87,13.59,8.56,23.16,2.62,85.7,14.62,20.28,4.94
Infection plant,38.59,30.95,96.87,69.28,55.77,69.28,5.67,18.83,10.57,260,15.32,16.47,84.18,21.08,10.69,25.1,4.12,74.7,53,15.64,20.05
Infection plant,69.07,12.79,138.29,10.25,65.44,98.67,6.29,41.33,12.74,324.45,37.87,22.15,11.76,29.45,16.85,22.67,7.53,2.84,9.72,5.19,17.75
Infection plant,102,18.48,215.51,79.38,27.91,21.13,3.5,24.31,22.35,244.56,9.76,21.8,13.67,27.79,14.62,18.07,4.15,2.27,76.37,12.13,14.08
Infection plant,103.36,16.84,83.2,57.42,47.23,23.13,12.01,24.18,12.86,112.06,32.34,25.57,38.95,11.22,12.78,24.4,1.33,90.75,85,5.88,8.39
Infection plant,71.87,38.96,136.71,41.92,51.86,22.32,21.58,29.6,25.81,158.6,10.21,21.98,77.96,10.69,6.53,30.37,7.58,8.18,15.67,13.45,15.7
Infection plant,46.61,29.34,84,79.6,77.75,23.79,7.55,27.3,17.78,189.52,10.53,14.3,60.55,16.85,6.24,15.11,4.37,22.87,69.84,23.72,16.29
Infection plant,64.96,17.44,182.42,17.06,24.36,79.38,5.66,25.85,23.03,150.63,20.18,19.42,30.88,24.8,18.24,26.66,3.56,5.94,18.19,6.21,9.73
Infection plant,108.2,19.65,144.01,86.46,45.42,57.42,19.27,53.5,9.8,354.11,25,9.03,46.56,29.92,19.95,13.88,12.92,29.64,89.97,8.72,20.22
Infection plant,30.75,34.39,133.15,64.7,61.94,18.34,13.58,57.86,26.56,176.5,25.58,12.29,46.51,19.95,14.12,24.76,9.42,47.37,16.9,6,6.13
Infection plant,71.07,27.79,96.6,29.46,59.45,64.7,3,42.17,11.51,184.66,8.08,17.73,99.58,26.33,19.27,27.4,8.24,88.16,13.55,9.83,13.16
Infection plant,41.13,23.76,230.26,12.05,38.04,25.74,9.02,43.17,26.89,210.45,24.57,25.76,43.21,27.3,17.85,16.65,2.93,3.52,28.94,8.73,12.35
Infection plant,93.55,22.37,129.88,29.49,64.01,22.68,8.68,20.93,9.42,166.22,22.02,20.5,56.31,29.46,10.24,22.14,6.56,26.08,14.47,13.01,1.91
Infection plant,38.02,27.77,80.77,25.13,72.89,17.28,11.67,57.68,14.41,165.8,15.84,16.64,34.02,11.57,12.6,30.91,7.47,10.38,54.73,20.4,16.25
Infection plant,75.57,33.29,174.58,66.05,46.86,22.19,15.97,28.72,11.08,187.9,9.64,10.03,40.71,28.49,6.95,27.37,6.47,62.5,16.22,9.86,3.58
Infection plant,30.37,18.37,128.86,19.08,31.52,19.88,5.12,49.45,12.68,191.29,17.31,9.09,39.04,17.01,6.63,12.5,8.56,91.84,54.38,9.77,2.32
Infection plant,34.02,18.38,152.48,90.55,35.95,19.73,13.48,28.71,25.23,157.09,18.21,21.86,68.08,17.98,11.57,12.52,5.23,6.28,17.9,7.83,8.62
Infection plant,39.02,16.8,140.07,26.6,42.68,18.39,14.43,19.77,10.13,306.38,19.92,24.49,92,19.97,9.59,30.92,1.51,6.47,54.2,14.62,8.82
Infection plant,71.54,14.13,160.48,86.59,99.17,83,11.49,54.34,15.76,303.02,20.96,17.34,19.7,19.75,17.01,12.16,14.36,33.15,54.74,15.23,7.58
Infection plant,36.34,26.56,128.12,88.56,33.04,90.55,4.27,54.39,14.32,140.32,20.78,7.98,49.84,23.93,17.98,28.5,11.78,23.03,15.33,10.19,5.26
Infection plant,68.09,20.49,106.55,42.62,39.04,67.45,17.45,14.75,14.22,159.35,45.44,22.46,59,19.34,10.01,30.19,10.77,10.88,61.52,19.24,20.23
Infection plant,103.52,16.4,99.78,91.37,37.93,17.94,13.86,48,13.24,319.53,17.48,9.6,68.06,24.84,19.75,14.71,12.71,69,9.37,15.67,5.07
Infection plant,83.87,20.88,87.49,84.74,29.6,25.12,12.26,22.41,18.82,290.8,37.96,25.32,0,27.62,3.91,25.71,9.22,7.36,11.07,21,7.16
Infection plant,35.13,20.01,230.76,58.48,47.96,16.6,19.61,26.41,22.73,152.8,8.44,26.73,72.72,26.73,19.56,15.96,2.3,3.6,18.49,13.35,3.99
Infection plant,35.1,34.03,93.02,76.11,31.57,17.95,6.28,29.46,13.31,139.4,34.24,24.44,97.37,28.39,19.34,19.85,4.24,77.91,89.56,11.76,17.32
Infection plant,102.06,22.07,81.24,84.49,72.51,76.11,7.59,29.93,16.89,194.91,16.73,19.61,32.69,24.95,18.57,23.2,14.41,15.43,78.32,8.65,15.51
Infection plant,55.75,17.81,225.05,47.02,38.64,21.59,15.88,15.79,25.98,153.78,15.54,23.88,60.68,22.93,9.58,29.62,8.14,6.48,67.89,15.35,2.72
Infection plant,92,15.12,150,13.68,66.73,84.77,21.3,24.59,23.77,188.16,14.8,14.23,26.79,29.12,9.96,21.64,13.02,14.42,29.25,18.56,9.79
Infection plant,94.95,33.58,208.54,38.8,67.34,24.44,10.75,48.46,14.81,198,17.04,23.98,63.89,29.8,18.9,27.5,8.46,96.66,65.24,17.74,9.55
Infection plant,36.79,35.17,138,17.39,37.87,56.04,14.48,17.04,17.64,265.71,9.56,24.7,36.64,23.23,14.37,24.96,10.63,98.21,9.74,6.82,12.08
Infection plant,38.84,32.29,222.87,53.51,28.42,53.51,9.82,56.58,13.56,119.84,28.32,8.74,76,28.01,12.24,17.59,1.02,65.49,11.27,6.74,13.75
Infection plant,51.91,21.21,135.25,71.86,61.98,71.86,8.65,57.39,16.97,368.88,9.01,15.24,12.4,24.13,10.32,30.43,15.53,6.91,18.04,7.97,4.14
Infection plant,31.85,30.58,128.55,57.23,97.17,57.23,11.68,33.17,24.42,155.68,8.62,24.57,50.77,28.09,8.13,14.77,2.71,43.19,92.95,7.22,4.7
Infection plant,31.22,15.75,174.59,12.75,24.94,93.48,11.53,34.76,23.43,389.52,25.25,8.71,59.68,23.2,10.88,28.11,2.65,4.55,15.42,6.3,12.68
Infection plant,60.86,20.6,113.06,95.45,27.18,21.25,3.96,18.21,17.52,153.42,24.07,17.84,18.85,10.87,6.14,23.1,8.15,4.06,51.35,22.19,2.26
Infection plant,30.15,15.62,114.2,98.2,37.79,95.45,4.44,29.24,18.62,151,37.8,25.87,78.84,14.93,9.14,20.78,10.46,64.95,54.62,10.79,2.49
Infection plant,72.24,20.74,84.06,33.01,39.54,18.69,9.48,44.34,10.72,113.56,43.6,19.71,20.17,21.2,14.88,13.98,10.09,2.57,15.97,16.64,17
Infection plant,31.94,22.73,161.74,55.91,62.13,20.61,13.17,37.64,23.12,130.29,15.53,17.27,38.27,14.88,6.81,22.39,12.02,8.17,16.25,12.88,7.05
Infection plant,36.8,16.13,123.58,35.75,25.96,55.02,9.61,14.15,8.36,208.45,32.69,23.89,22.5,14.87,7.87,12.58,12.85,1.28,32.16,17.85,15.07
Infection plant,39.21,37.47,213.91,29.79,94.92,60.28,17.86,46.63,23.23,249.45,11.81,9.71,29.83,28,2.95,13.9,8.73,87,51.57,9.64,11.64
Infection plant,34.68,23.48,132.68,59.74,76.05,18.67,19.62,19.28,27.35,328.4,36.4,16.65,16.22,12.54,15.55,11.46,4.72,8.33,32.49,19.41,7.17
Infection plant,71.34,17.54,167.03,86.4,36.38,59.74,18.08,32.65,17.7,151.15,11.46,23.97,97.2,24.14,13.3,13.77,11.38,7.59,10.73,7.79,7.64
Infection plant,33.34,29.46,92.63,89.03,58.48,22.24,8.11,56.11,27.62,352.62,34,10.24,27.71,17.19,12.54,28.65,17.1,1.51,13.25,7.05,11.11
Infection plant,31.07,12.49,189.88,91.3,59.03,24.37,22.47,50.13,24.03,385.55,16.67,19.59,94.52,28.08,12.8,17.88,8.69,40.53,18.85,7.28,20.63
Infection plant,30.74,12.8,219.63,12.72,48.86,21.69,21.81,36.91,8.28,388.98,14.51,15.5,56.75,16.32,2.22,11.61,15.66,4.65,9.21,17.31,17.77
Infection plant,30.8,30.41,128.66,90.04,94,89.03,4.65,28.9,14.61,153.82,34.85,12.99,92.76,22.73,19.84,19.96,5.41,2.37,13.91,15.01,13.45
Infection plant,81.95,14.84,189.22,42,73.23,17.1,9.52,38.1,21.52,150.3,9.33,25.09,41.76,17.18,8.68,26.63,15.89,2.75,16.68,22.56,13.68
Infection plant,36.05,19.5,146,59.15,63.96,20.88,14.33,49.63,17.1,187.21,37.42,25.82,38.39,26.22,11.18,11.55,4.47,96.26,88.03,23.92,10.77
Infection plant,81,26.16,154.14,35.9,60,85.72,8.42,46.61,20.17,270.71,23.79,8.97,12.41,29.09,3.99,28.14,7.27,70.6,54.65,8.1,10.88
Infection plant,30.69,27.71,80.08,95.82,90.76,19.68,14.59,26.66,27.08,153.39,45.47,18,54.54,27.44,10.31,17.21,15.88,5.34,60.02,21.19,16.18
